candidate_id,years_experience,education_level,skills,experience_description,position_applied,suitable
CAND_0041,1,master,"r, critical thinking, problem solving, leadership, sql","Experienced analyst with 1 years working with r, critical thinking, problem solving",analyst,0
CAND_0042,0,phd,"docker, linux, terraform, teamwork, azure, ansible","Experienced devops engineer with 0 years working with docker, linux, terraform",devops_engineer,1
CAND_0043,7,master,"communication, adaptability, leadership, project management, scrum","Experienced project manager with 7 years working with communication, adaptability, leadership",project_manager,1
CAND_0044,4,high_school,"ui/ux, prototyping, critical thinking, problem solving, design, time management","Experienced designer with 4 years working with ui/ux, prototyping, critical thinking",designer,1
CAND_0045,0,high_school,"communication, linux, critical thinking, problem solving, windows","Experienced system administrator with 0 years working with communication, linux, critical thinking",system_administrator,1
CAND_0046,1,bachelor,"machine learning, communication, r, python, sql, excel, data visualization","Experienced data analyst with 1 years working with machine learning, communication, r",data_analyst,1
CAND_0047,7,high_school,"adaptability, creativity, react","Experienced frontend developer with 7 years working with adaptability, creativity, react",frontend_developer,0
CAND_0048,8,high_school,"pandas, teamwork, problem solving, sql, excel, time management, powerbi","Experienced data analyst with 8 years working with pandas, teamwork, problem solving",data_analyst,1
CAND_0049,6,master,"communication, adaptability, teamwork, adobe creative suite, css, html","Experienced designer with 6 years working with communication, adaptability, teamwork",designer,0
CAND_0050,4,high_school,"machine learning, communication, statistics, leadership, sql, data visualization, excel","Experienced data analyst with 4 years working with machine learning, communication, statistics",data_analyst,1
CAND_0051,2,master,"mongodb, angular, adaptability, javascript, css, html, php","Experienced web developer with 2 years working with mongodb, angular, adaptability",web_developer,1
CAND_0052,0,associate,"docker, prometheus, linux, problem solving, azure, aws, monitoring","Experienced devops engineer with 0 years working with docker, prometheus, linux",devops_engineer,1
CAND_0053,1,bachelor,"security, bash, linux, teamwork, networking, windows","Experienced system administrator with 1 years working with security, bash, linux",system_administrator,1
CAND_0054,10,master,"tableau, teamwork, python, problem solving, excel, time management, reporting, data analysis","Experienced analyst with 10 years working with tableau, teamwork, python",analyst,1
CAND_0055,5,bachelor,"communication, problem solving, leadership, content writing, content strategy, creativity, video editing, analytics","Experienced content creator with 5 years working with communication, problem solving, leadership",content_creator,1
CAND_0056,0,high_school,"mongodb, communication, angular, teamwork, php","Experienced web developer with 0 years working with mongodb, communication, angular",web_developer,0
CAND_0057,5,master,"communication, python, git, time management, c#, agile","Experienced software developer with 5 years working with communication, python, git",software_developer,0
CAND_0058,2,high_school,"photoshop, indesign, problem solving, critical thinking, design, adobe creative suite, creativity, illustrator","Experienced graphic designer with 2 years working with photoshop, indesign, problem solving",graphic_designer,1
CAND_0059,1,bachelor,"digital marketing, communication, email marketing, teamwork, sem, time management","Experienced digital marketer with 1 years working with digital marketing, communication, email marketing",digital_marketer,1
CAND_0060,9,phd,"swift, leadership, firebase, java, creativity, time management","Experienced mobile developer with 9 years working with swift, leadership, firebase",mobile_developer,0
CAND_0061,7,high_school,"aws, react, javascript, postgresql, creativity, sql, html, css","Experienced fullstack developer with 7 years working with aws, react, javascript",fullstack_developer,1
CAND_0062,2,phd,"programming, python, critical thinking, java, time management, agile","Experienced software developer with 2 years working with programming, python, critical thinking",software_developer,1
CAND_0063,1,associate,"testing, adaptability, critical thinking, bug tracking, quality assurance, selenium","Experienced qa engineer with 1 years working with testing, adaptability, critical thinking",qa_engineer,1
CAND_0064,1,high_school,"automation testing, testing, security testing, ci/cd, teamwork, leadership, creativity, quality assurance, selenium","Experienced qa engineer with 1 years working with automation testing, testing, security testing",qa_engineer,1
CAND_0065,1,bachelor,"tableau, machine learning, python, leadership, data visualization, time management, powerbi","Experienced data analyst with 1 years working with tableau, machine learning, python",data_analyst,0
CAND_0066,3,associate,"typescript, problem solving","Experienced web developer with 3 years working with typescript, problem solving",web_developer,0
CAND_0067,1,master,"r, critical thinking, problem solving, process modeling, sql, excel, time management, powerbi","Experienced business analyst with 1 years working with r, critical thinking, problem solving",business_analyst,1
CAND_0068,4,associate,"time management, app store, mobile","Experienced mobile developer with 4 years working with time management, app store, mobile",mobile_developer,1
CAND_0069,10,phd,"ui/ux, prototyping, problem solving, wireframing, design, figma","Experienced ui ux designer with 10 years working with ui/ux, prototyping, problem solving",ui_ux_designer,1
CAND_0070,6,bachelor,"communication, digital marketing","Experienced digital marketer with 6 years working with communication, digital marketing",digital_marketer,1
CAND_0071,10,master,"adaptability, vue, react, javascript, figma, html, css","Experienced frontend developer with 10 years working with adaptability, vue, react",frontend_developer,1
CAND_0072,9,bachelor,"time management, monitoring, leadership, creativity","Experienced system administrator with 9 years working with time management, monitoring, leadership",system_administrator,0
CAND_0073,10,bachelor,"creativity, technical skills","Experienced product manager with 10 years working with creativity, technical skills",product_manager,0
CAND_0074,7,high_school,"content writing, communication, graphic design","Experienced content creator with 7 years working with content writing, communication, graphic design",content_creator,1
CAND_0075,1,bachelor,"testing, communication, leadership, creativity, agile","Experienced developer with 1 years working with testing, communication, leadership",developer,0
CAND_0076,8,high_school,"time management, a/b testing, adaptability","Experienced product manager with 8 years working with time management, a/b testing, adaptability",product_manager,0
CAND_0077,4,phd,"problem solving, leadership","Experienced business analyst with 4 years working with problem solving, leadership",business_analyst,0
CAND_0078,8,associate,"sql, business intelligence, excel, creativity","Experienced business analyst with 8 years working with sql, business intelligence, excel",business_analyst,1
CAND_0079,0,master,"communication, adaptability, teamwork, responsive design, vue, react, javascript, figma, html, webpack, css","Experienced frontend developer with 0 years working with communication, adaptability, teamwork",frontend_developer,1
CAND_0080,11,associate,"docker, linux, leadership, time management, ansible","Experienced devops engineer with 11 years working with docker, linux, leadership",devops_engineer,1
CAND_0081,5,phd,"communication, teamwork, wireframing, product management, analytics, user research","Experienced product manager with 5 years working with communication, teamwork, wireframing",product_manager,1
CAND_0082,0,high_school,"pandas, statistics, python, problem solving, leadership, sql, excel, data visualization","Experienced data analyst with 0 years working with pandas, statistics, python",data_analyst,1
CAND_0083,1,phd,"sass, teamwork, critical thinking, javascript, html, css","Experienced frontend developer with 1 years working with sass, teamwork, critical thinking",frontend_developer,1
CAND_0084,9,phd,"kotlin, communication, google play, react native, app store, critical thinking, problem solving","Experienced mobile developer with 9 years working with kotlin, communication, google play",mobile_developer,0
CAND_0085,6,associate,creativity,Experienced fullstack developer with 6 years working with creativity,fullstack_developer,0
CAND_0086,8,associate,"adaptability, critical thinking, project management, agile","Experienced project manager with 8 years working with adaptability, critical thinking, project management",project_manager,1
CAND_0087,9,bachelor,"communication, statistics","Experienced data scientist with 9 years working with communication, statistics",data_scientist,0
CAND_0088,4,high_school,"machine learning, creativity, sql, excel, time management","Experienced data analyst with 4 years working with machine learning, creativity, sql",data_analyst,1
CAND_0089,4,bachelor,"communication, wordpress, critical thinking, problem solving, content writing, content strategy, creativity, social media","Experienced content creator with 4 years working with communication, wordpress, critical thinking",content_creator,1
CAND_0090,10,high_school,"stakeholder management, communication, critical thinking, leadership, confluence, project management, agile","Experienced project manager with 10 years working with stakeholder management, communication, critical thinking",project_manager,1
CAND_0091,4,master,"digital marketing, problem solving, creativity, facebook ads, seo, analytics, time management, social media","Experienced digital marketer with 4 years working with digital marketing, problem solving, creativity",digital_marketer,1
CAND_0092,6,bachelor,"api testing, problem solving, ci/cd","Experienced qa engineer with 6 years working with api testing, problem solving, ci/cd",qa_engineer,0
CAND_0093,2,associate,"time management, git, critical thinking, programming","Experienced software developer with 2 years working with time management, git, critical thinking",software_developer,1
CAND_0094,6,high_school,"vmware, communication, security, creativity, powershell","Experienced system administrator with 6 years working with vmware, communication, security",system_administrator,0
CAND_0095,10,bachelor,"tableau, communication, adaptability, teamwork, requirements analysis, powerbi","Experienced business analyst with 10 years working with tableau, communication, adaptability",business_analyst,0
CAND_0096,6,associate,"tableau, adaptability, teamwork, python, time management","Experienced analyst with 6 years working with tableau, adaptability, teamwork",analyst,0
CAND_0097,0,phd,"problem solving, css","Experienced designer with 0 years working with problem solving, css",designer,0
CAND_0098,0,associate,"r, communication, data visualization","Experienced data analyst with 0 years working with r, communication, data visualization",data_analyst,0
CAND_0099,5,phd,"pandas, statistics, teamwork, critical thinking, data visualization, sql, excel","Experienced data analyst with 5 years working with pandas, statistics, teamwork",data_analyst,1
CAND_0100,0,high_school,"tableau, machine learning, communication, statistics, r, problem solving, data visualization, time management","Experienced data analyst with 0 years working with tableau, machine learning, communication",data_analyst,0
CAND_0101,9,bachelor,critical thinking,Experienced data scientist with 9 years working with critical thinking,data_scientist,0
CAND_0102,0,phd,"creativity, performance testing","Experienced qa engineer with 0 years working with creativity, performance testing",qa_engineer,0
CAND_0103,9,associate,"vmware, communication, security, teamwork, problem solving, networking","Experienced system administrator with 9 years working with vmware, communication, security",system_administrator,0
CAND_0104,0,phd,"adaptability, git, critical thinking, programming","Experienced software developer with 0 years working with adaptability, git, critical thinking",software_developer,1
CAND_0105,4,phd,"time management, webpack","Experienced web developer with 4 years working with time management, webpack",web_developer,0
CAND_0106,6,bachelor,"adaptability, python, kubernetes, problem solving, azure, creativity","Experienced backend developer with 6 years working with adaptability, python, kubernetes",backend_developer,0
CAND_0107,8,high_school,"communication, prototyping, problem solving, design, time management","Experienced designer with 8 years working with communication, prototyping, problem solving",designer,1
CAND_0108,8,associate,"communication, critical thinking, leadership, sql, excel","Experienced business analyst with 8 years working with communication, critical thinking, leadership",business_analyst,1
CAND_0109,0,phd,"typography, print design, leadership, adaptability","Experienced graphic designer with 0 years working with typography, print design, leadership",graphic_designer,0
CAND_0110,3,associate,"communication, leadership, creativity, seo, social media","Experienced digital marketer with 3 years working with communication, leadership, creativity",digital_marketer,0
CAND_0111,12,master,"communication, problem solving, product management, roadmap planning","Experienced product manager with 12 years working with communication, problem solving, product management",product_manager,1
CAND_0112,8,associate,"kotlin, adaptability, critical thinking, mobile, firebase, creativity","Experienced mobile developer with 8 years working with kotlin, adaptability, critical thinking",mobile_developer,1
CAND_0113,1,bachelor,"creativity, critical thinking, leadership, performance testing","Experienced qa engineer with 1 years working with creativity, critical thinking, leadership",qa_engineer,0
CAND_0114,7,phd,"machine learning, communication, r, critical thinking, data visualization","Experienced data analyst with 7 years working with machine learning, communication, r",data_analyst,0
CAND_0115,5,high_school,"digital marketing, adaptability, email marketing, teamwork, social media","Experienced digital marketer with 5 years working with digital marketing, adaptability, email marketing",digital_marketer,1
CAND_0116,3,master,"nodejs, adaptability, problem solving, api, sql, php","Experienced backend developer with 3 years working with nodejs, adaptability, problem solving",backend_developer,1
CAND_0117,10,high_school,"communication, wordpress, teamwork, problem solving, content strategy, social media, copywriting","Experienced content creator with 10 years working with communication, wordpress, teamwork",content_creator,0
CAND_0118,5,associate,"leadership, problem solving, prototyping","Experienced designer with 5 years working with leadership, problem solving, prototyping",designer,0
CAND_0119,0,high_school,"tableau, machine learning, communication, statistics, teamwork, python, problem solving, sql, excel","Experienced data analyst with 0 years working with tableau, machine learning, communication",data_analyst,1
CAND_0120,6,associate,"adaptability, teamwork, leadership, video editing, seo","Experienced content creator with 6 years working with adaptability, teamwork, leadership",content_creator,0
CAND_0121,4,associate,teamwork,Experienced data analyst with 4 years working with teamwork,data_analyst,0
CAND_0122,0,phd,"communication, mobile, creativity","Experienced mobile developer with 0 years working with communication, mobile, creativity",mobile_developer,1
CAND_0123,7,bachelor,"linux, time management, teamwork, windows","Experienced system administrator with 7 years working with linux, time management, teamwork",system_administrator,1
CAND_0124,1,bachelor,"swift, mobile, java, creativity, flutter","Experienced mobile developer with 1 years working with swift, mobile, java",mobile_developer,1
CAND_0125,6,phd,"communication, leadership, sql, excel, agile","Experienced business analyst with 6 years working with communication, leadership, sql",business_analyst,1
CAND_0126,11,associate,communication,Experienced data scientist with 11 years working with communication,data_scientist,0
CAND_0127,2,high_school,creativity,Experienced project manager with 2 years working with creativity,project_manager,0
CAND_0128,3,master,"jenkins, communication, prometheus, teamwork, kubernetes, creativity, aws, terraform","Experienced devops engineer with 3 years working with jenkins, communication, prometheus",devops_engineer,0
CAND_0129,8,high_school,"teamwork, communication, sass, webpack","Experienced frontend developer with 8 years working with teamwork, communication, sass",frontend_developer,0
CAND_0130,2,bachelor,"critical thinking, javascript, creativity, sql, html, css","Experienced fullstack developer with 2 years working with critical thinking, javascript, creativity",fullstack_developer,1
CAND_0131,9,associate,"digital marketing, content marketing, creativity, sem, seo, social media","Experienced digital marketer with 9 years working with digital marketing, content marketing, creativity",digital_marketer,1
CAND_0132,2,high_school,"communication, teamwork, technical skills, product management, analytics, agile","Experienced product manager with 2 years working with communication, teamwork, technical skills",product_manager,1
CAND_0133,0,associate,"docker, teamwork, critical thinking, react, time management","Experienced fullstack developer with 0 years working with docker, teamwork, critical thinking",fullstack_developer,0
CAND_0134,5,master,"time management, photoshop, illustrator","Experienced graphic designer with 5 years working with time management, photoshop, illustrator",graphic_designer,0
CAND_0135,11,phd,"python, critical thinking, javascript, creativity, sql, html, time management, css","Experienced fullstack developer with 11 years working with python, critical thinking, javascript",fullstack_developer,1
CAND_0136,2,high_school,"content marketing, digital marketing, problem solving","Experienced digital marketer with 2 years working with content marketing, digital marketing, problem solving",digital_marketer,1
CAND_0137,0,bachelor,"communication, security, active directory, problem solving, networking, powershell","Experienced system administrator with 0 years working with communication, security, active directory",system_administrator,0
CAND_0138,5,high_school,"communication, nodejs, angular, adaptability, react, javascript, html, css","Experienced web developer with 5 years working with communication, nodejs, angular",web_developer,1
CAND_0139,8,phd,"critical thinking, google ads","Experienced digital marketer with 8 years working with critical thinking, google ads",digital_marketer,0
CAND_0140,1,phd,"communication, wordpress, problem solving, content writing, creativity, video editing, time management, social media","Experienced content creator with 1 years working with communication, wordpress, problem solving",content_creator,1
CAND_0141,1,phd,"ci/cd, teamwork, bug tracking, leadership, api testing, selenium","Experienced qa engineer with 1 years working with ci/cd, teamwork, bug tracking",qa_engineer,0
CAND_0142,3,associate,"docker, linux, terraform, teamwork, creativity, ansible","Experienced devops engineer with 3 years working with docker, linux, terraform",devops_engineer,1
CAND_0143,9,master,"ui/ux, prototyping, teamwork, problem solving, design, adobe creative suite","Experienced designer with 9 years working with ui/ux, prototyping, teamwork",designer,1
CAND_0144,10,bachelor,"vmware, communication, adaptability, bash, linux, networking, powershell, windows, monitoring","Experienced system administrator with 10 years working with vmware, communication, adaptability",system_administrator,1
CAND_0145,1,phd,"digital marketing, email marketing, seo, analytics, time management, social media","Experienced digital marketer with 1 years working with digital marketing, email marketing, seo",digital_marketer,1
CAND_0146,3,high_school,problem solving,Experienced fullstack developer with 3 years working with problem solving,fullstack_developer,0
CAND_0147,1,high_school,"communication, sass, vue, creativity, typescript","Experienced frontend developer with 1 years working with communication, sass, vue",frontend_developer,0
CAND_0148,9,phd,"communication, teamwork, critical thinking, sql, product management, analytics, agile","Experienced product manager with 9 years working with communication, teamwork, critical thinking",product_manager,1
CAND_0149,11,bachelor,"communication, technical skills, leadership, sql, time management","Experienced product manager with 11 years working with communication, technical skills, leadership",product_manager,0
CAND_0150,8,master,"communication, prototyping, problem solving, wireframing, adobe creative suite, sketch, css","Experienced ui ux designer with 8 years working with communication, prototyping, problem solving",ui_ux_designer,0
CAND_0151,3,phd,"communication, statistics","Experienced data analyst with 3 years working with communication, statistics",data_analyst,0
CAND_0152,9,master,"communication, critical thinking, facebook ads, sem","Experienced digital marketer with 9 years working with communication, critical thinking, facebook ads",digital_marketer,0
CAND_0153,1,master,"adaptability, leadership, react","Experienced frontend developer with 1 years working with adaptability, leadership, react",frontend_developer,0
CAND_0154,1,high_school,"python, sql, leadership, excel","Experienced data analyst with 1 years working with python, sql, leadership",data_analyst,1
CAND_0155,0,high_school,"automation testing, security testing, adaptability, bug tracking, leadership, performance testing","Experienced qa engineer with 0 years working with automation testing, security testing, adaptability",qa_engineer,0
CAND_0156,9,phd,"sql, excel, r, adaptability","Experienced business analyst with 9 years working with sql, excel, r",business_analyst,1
CAND_0157,6,master,"machine learning, sql, excel, time management, powerbi","Experienced data analyst with 6 years working with machine learning, sql, excel",data_analyst,1
CAND_0158,0,master,"r, teamwork, python, problem solving, leadership, sql, excel, requirements analysis, powerbi","Experienced business analyst with 0 years working with r, teamwork, python",business_analyst,1
CAND_0159,8,master,"kotlin, adaptability, app store, problem solving, mobile, creativity, flutter","Experienced mobile developer with 8 years working with kotlin, adaptability, app store",mobile_developer,1
CAND_0160,0,phd,"google play, react native, teamwork, java, flutter","Experienced mobile developer with 0 years working with google play, react native, teamwork",mobile_developer,0
CAND_0161,1,bachelor,"app store, critical thinking, swift, firebase, java, time management, flutter","Experienced mobile developer with 1 years working with app store, critical thinking, swift",mobile_developer,0
CAND_0162,1,master,"docker, adaptability, python, java, time management","Experienced software developer with 1 years working with docker, adaptability, python",software_developer,0
CAND_0163,1,high_school,"docker, nodejs, teamwork, api, sql","Experienced backend developer with 1 years working with docker, nodejs, teamwork",backend_developer,1
CAND_0164,0,bachelor,"teamwork, microservices","Experienced backend developer with 0 years working with teamwork, microservices",backend_developer,0
CAND_0165,9,phd,"communication, nodejs, teamwork, problem solving, microservices","Experienced fullstack developer with 9 years working with communication, nodejs, teamwork",fullstack_developer,0
CAND_0166,2,master,"tensorflow, communication, statistics, critical thinking, problem solving, numpy, scipy","Experienced data scientist with 2 years working with tensorflow, communication, statistics",data_scientist,0
CAND_0167,4,master,"mongodb, javascript, postgresql, html, time management, css","Experienced web developer with 4 years working with mongodb, javascript, postgresql",web_developer,1
CAND_0168,6,high_school,"adaptability, problem solving, facebook ads, analytics, time management, google ads","Experienced digital marketer with 6 years working with adaptability, problem solving, facebook ads",digital_marketer,0
CAND_0169,7,phd,"adaptability, r, sql, excel, agile","Experienced business analyst with 7 years working with adaptability, r, sql",business_analyst,1
CAND_0170,10,master,"kotlin, push notifications, react native, teamwork, mobile, firebase, leadership, flutter","Experienced mobile developer with 10 years working with kotlin, push notifications, react native",mobile_developer,1
CAND_0171,7,master,"docker, teamwork, critical thinking, javascript, sql, html, time management, css","Experienced fullstack developer with 7 years working with docker, teamwork, critical thinking",fullstack_developer,1
CAND_0172,4,master,"communication, angular, adaptability, vue, leadership, javascript, figma, html, css","Experienced frontend developer with 4 years working with communication, angular, adaptability",frontend_developer,1
CAND_0173,8,bachelor,"docker, linux, critical thinking, problem solving, leadership","Experienced devops engineer with 8 years working with docker, linux, critical thinking",devops_engineer,1
CAND_0174,4,high_school,"communication, photoshop, branding, indesign, design, adobe creative suite","Experienced graphic designer with 4 years working with communication, photoshop, branding",graphic_designer,1
CAND_0175,1,phd,"color theory, branding, indesign, design, adobe creative suite, print design, creativity, illustrator","Experienced graphic designer with 1 years working with color theory, branding, indesign",graphic_designer,1
CAND_0176,1,high_school,"time management, communication, user research, roadmap planning","Experienced product manager with 1 years working with time management, communication, user research",product_manager,0
CAND_0177,6,phd,"leadership, creativity, indesign, illustrator","Experienced graphic designer with 6 years working with leadership, creativity, indesign",graphic_designer,0
CAND_0178,2,bachelor,"communication, teamwork, javascript, creativity, html, css","Experienced web developer with 2 years working with communication, teamwork, javascript",web_developer,1
CAND_0179,0,high_school,"ci/cd, python, java, time management, c#, agile","Experienced software developer with 0 years working with ci/cd, python, java",software_developer,0
CAND_0180,7,master,"teamwork, critical thinking, kubernetes, aws, monitoring, ansible","Experienced devops engineer with 7 years working with teamwork, critical thinking, kubernetes",devops_engineer,0
CAND_0181,9,phd,"communication, teamwork, hadoop, pytorch","Experienced data scientist with 9 years working with communication, teamwork, hadoop",data_scientist,0
CAND_0182,1,phd,"critical thinking, leadership, photoshop, indesign","Experienced graphic designer with 1 years working with critical thinking, leadership, photoshop",graphic_designer,0
CAND_0183,8,bachelor,"r, creativity, sql, excel, powerbi","Experienced data analyst with 8 years working with r, creativity, sql",data_analyst,1
CAND_0184,3,associate,"communication, teamwork, technical skills, agile, product management, analytics, roadmap planning","Experienced product manager with 3 years working with communication, teamwork, technical skills",product_manager,1
CAND_0185,8,associate,"java, time management, critical thinking, programming","Experienced software developer with 8 years working with java, time management, critical thinking",software_developer,1
CAND_0186,9,phd,"teamwork, app store, leadership, firebase, creativity","Experienced mobile developer with 9 years working with teamwork, app store, leadership",mobile_developer,0
CAND_0187,0,associate,"adaptability, teamwork, python, problem solving, sql","Experienced data scientist with 0 years working with adaptability, teamwork, python",data_scientist,1
CAND_0188,0,phd,"ui/ux, teamwork, critical thinking, design, adobe creative suite, sketch, user research, html","Experienced ui ux designer with 0 years working with ui/ux, teamwork, critical thinking",ui_ux_designer,1
CAND_0189,4,associate,"performance testing, testing, creativity, quality assurance","Experienced qa engineer with 4 years working with performance testing, testing, creativity",qa_engineer,1
CAND_0190,5,master,"python, problem solving, adaptability","Experienced backend developer with 5 years working with python, problem solving, adaptability",backend_developer,0
CAND_0191,6,high_school,"problem solving, api, sql, c#","Experienced backend developer with 6 years working with problem solving, api, sql",backend_developer,1
CAND_0192,1,master,"teamwork, time management, project management, adaptability","Experienced project manager with 1 years working with teamwork, time management, project management",project_manager,1
CAND_0193,5,master,"testing, programming, teamwork, python, java, sql, agile","Experienced developer with 5 years working with testing, programming, teamwork",developer,1
CAND_0194,1,master,"react native, teamwork, swift, mobile, java, creativity","Experienced mobile developer with 1 years working with react native, teamwork, swift",mobile_developer,1
CAND_0195,9,associate,"prototyping, critical thinking, leadership, creativity, sketch","Experienced ui ux designer with 9 years working with prototyping, critical thinking, leadership",ui_ux_designer,0
CAND_0196,2,associate,"communication, problem solving, content writing, creativity, time management, wordpress","Experienced content creator with 2 years working with communication, problem solving, content writing",content_creator,1
CAND_0197,6,associate,"communication, adaptability, go, api, sql, creativity","Experienced backend developer with 6 years working with communication, adaptability, go",backend_developer,1
CAND_0198,9,bachelor,"confluence, communication, leadership","Experienced project manager with 9 years working with confluence, communication, leadership",project_manager,0
CAND_0199,5,associate,"tableau, pandas, machine learning, teamwork, python, leadership, creativity, powerbi","Experienced data analyst with 5 years working with tableau, pandas, machine learning",data_analyst,0
CAND_0200,10,master,"ui/ux, teamwork, design, figma, adobe creative suite, sketch, html, time management, css","Experienced ui ux designer with 10 years working with ui/ux, teamwork, design",ui_ux_designer,1
